PLC ,B1   ,201809160930,183,1001001009
PLC ,B1   ,201809160931,182,1001001009
PLC ,B1   ,201809160932,160,1001001009
PLC ,B1   ,201809160933,175,1001001009
PLC ,B1   ,201809160934,189,1001001009
PLC ,B1   ,201809160935,208,1001001009
PLC ,B1   ,201809160936,179,1001001009
PLC ,B1   ,201809160937,193,1001001009
PLC ,B1   ,201809160938,169,1001001009
PLC ,B1   ,201809160939,157,1001001009
PLC ,B1   ,201809160940,179,1001001009
PLC ,B1   ,201809160941,151,1001001009
PLC ,B1   ,201809160942,157,1001001009
PLC ,B1   ,201809160943,169,1001001009
PLC ,B1   ,201809160944,188,1001001009
PLC ,B1   ,201809160945,170,1001001009
PLC ,B1   ,201809160946,155,1001001009
PLC ,B1   ,201809160947,166,1001001009
PLC ,B1   ,201809160948,186,1001001009
PLC ,B1   ,201809160949,162,1001001009
PLC ,B1   ,201809160950,178,1001001009
PLC ,B1   ,201809160951,151,1001001009
PLC ,B1   ,201809160952,194,1001001009
PLC ,B1   ,201809160953,204,1001001009
PLC ,B1   ,201809160954,249,1001001009
PLC ,B1   ,201809160955,242,1001001009
PLC ,B1   ,201809160956,233,1001001009
PLC ,B1   ,201809160957,247,1001001009
PLC ,B1   ,201809160958,237,1001001009
PLC ,B1   ,201809160959,257,1001001009
PLC ,B1   ,201809161000,258,1001001009
PLC ,B1   ,201809161001,208,1001001009
PLC ,B1   ,201809161002,199,1001001009
PLC ,B1   ,201809161003,174,1001001009
PLC ,B1   ,201809161004,203,1001001009
PLC ,B1   ,201809161005,249,1001001009
PLC ,B1   ,201809161006,256,1001001009
PLC ,B1   ,201809161007,225,1001001009
PLC ,B1   ,201809161008,192,1001001009
PLC ,B1   ,201809161009,189,1001001009
PLC ,B1   ,201809161010,234,1001001009
PLC ,B1   ,201809161011,251,1001001009
PLC ,B1   ,201809161012,249,1001001009
PLC ,B1   ,201809161013,253,1001001009
PLC ,B1   ,201809161014,229,1001001009
PLC ,B1   ,201809161015,227,1001001009
PLC ,B1   ,201809161016,238,1001001009
PLC ,B1   ,201809161017,245,1001001009
PLC ,B1   ,201809161018,266,1001001009
PLC ,B1   ,201809161019,257,1001001009
PLC ,B1   ,201809161020,288,1001001009
PLC ,B1   ,201809161021,290,1001001009
PLC ,B1   ,201809161022,278,1001001009
PLC ,B1   ,201809161023,278,1001001009
PLC ,B1   ,201809161024,282,1001001009
PLC ,B1   ,201809161025,303,1001001009
PLC ,B1   ,201809161026,342,1001001009
PLC ,B1   ,201809161027,285,1001001009
PLC ,B1   ,201809161028,284,1001001009
PLC ,B1   ,201809161029,286,1001001009
PLC ,B1   ,201809161030,280,1001001009
PLC ,B1   ,201809161031,278,1001001009
PLC ,B1   ,201809161032,278,1001001009
PLC ,B1   ,201809161033,333,1001001009
PLC ,B1   ,201809161034,351,1001001009
PLC ,B1   ,201809161035,300,1001001009
