NP  ,B1   ,201809160953,197,1001001009
NP  ,B1   ,201809160954,150,1001001009
NP  ,B1   ,201809160955,246,1001001009
NP  ,B1   ,201809160956,224,1001001009
NP  ,B1   ,201809160957,208,1001001009
NP  ,B1   ,201809160958,178,1001001009
NP  ,B1   ,201809160959,237,1001001009
NP  ,B1   ,201809161000,203,1001001009
NP  ,B1   ,201809161001,252,1001001009
NP  ,B1   ,201809161002,258,1001001009
NP  ,B1   ,201809161003,207,1001001009
NP  ,B1   ,201809161004,228,1001001009
NP  ,B1   ,201809161005,246,1001001009
NP  ,B1   ,201809161006,308,1001001009
NP  ,B1   ,201809161007,248,1001001009
NP  ,B1   ,201809161008,236,1001001009
NP  ,B1   ,201809161009,312,1001001009
NP  ,B1   ,201809161010,257,1001001009
NP  ,B1   ,201809161011,235,1001001009
NP  ,B1   ,201809161012,236,1001001009
NP  ,B1   ,201809161013,221,1001001009
NP  ,B1   ,201809161014,239,1001001009
NP  ,B1   ,201809161015,235,1001001009
NP  ,B1   ,201809161016,281,1001001009
NP  ,B1   ,201809161017,298,1001001009
NP  ,B1   ,201809161018,219,1001001009
NP  ,B1   ,201809161019,286,1001001009
NP  ,B1   ,201809161020,244,1001001009
NP  ,B1   ,201809161021,269,1001001009
NP  ,B1   ,201809161022,332,1001001009
NP  ,B1   ,201809161023,309,1001001009
NP  ,B1   ,201809161024,297,1001001009
NP  ,B1   ,201809161025,279,1001001009
NP  ,B1   ,201809161026,298,1001001009
NP  ,B1   ,201809161027,314,1001001009
NP  ,B1   ,201809161028,264,1001001009
NP  ,B1   ,201809161029,275,1001001009
NP  ,B1   ,201809161030,317,1001001009
NP  ,B1   ,201809161031,323,1001001009
NP  ,B1   ,201809161032,271,1001001009
NP  ,B1   ,201809161033,277,1001001009
NP  ,B1   ,201809161034,307,1001001009
NP  ,B1   ,201809161035,252,1001001009
