SHW ,B1   ,201809160910,90,1001001009
SHW ,B1   ,201809160911,93,1001001009
SHW ,B1   ,201809160912,106,1001001009
SHW ,B1   ,201809160913,85,1001001009
SHW ,B1   ,201809160914,117,1001001009
SHW ,B1   ,201809160915,87,1001001009
SHW ,B1   ,201809160916,93,1001001009
SHW ,B1   ,201809160917,116,1001001009
SHW ,B1   ,201809160918,97,1001001009
SHW ,B1   ,201809160919,107,1001001009
SHW ,B1   ,201809160920,107,1001001009
SHW ,B1   ,201809160921,110,1001001009
SHW ,B1   ,201809160922,94,1001001009
SHW ,B1   ,201809160923,94,1001001009
SHW ,B1   ,201809160924,96,1001001009
SHW ,B1   ,201809160925,94,1001001009
SHW ,B1   ,201809160926,99,1001001009
SHW ,B1   ,201809160927,88,1001001009
SHW ,B1   ,201809160928,91,1001001009
SHW ,B1   ,201809160929,106,1001001009
SHW ,B1   ,201809160930,101,1001001009
SHW ,B1   ,201809160931,99,1001001009
SHW ,B1   ,201809160932,99,1001001009
SHW ,B1   ,201809160933,112,1001001009
SHW ,B1   ,201809160934,81,1001001009
SHW ,B1   ,201809160935,90,1001001009
SHW ,B1   ,201809160936,119,1001001009
SHW ,B1   ,201809160937,109,1001001009
SHW ,B1   ,201809160938,95,1001001009
SHW ,B1   ,201809160939,97,1001001009
SHW ,B1   ,201809160940,106,1001001009
SHW ,B1   ,201809160941,116,1001001009
SHW ,B1   ,201809160942,103,1001001009
SHW ,B1   ,201809160943,90,1001001009
SHW ,B1   ,201809160944,83,1001001009
SHW ,B1   ,201809160945,81,1001001009
SHW ,B1   ,201809160946,97,1001001009
SHW ,B1   ,201809160947,84,1001001009
SHW ,B1   ,201809160948,82,1001001009
SHW ,B1   ,201809160949,90,1001001009
SHW ,B1   ,201809160950,107,1001001009
SHW ,B1   ,201809160951,100,1001001009
SHW ,B1   ,201809160952,107,1001001009
SHW ,B1   ,201809160953,113,1001001009
SHW ,B1   ,201809160954,89,1001001009
SHW ,B1   ,201809160955,96,1001001009
SHW ,B1   ,201809160956,119,1001001009
SHW ,B1   ,201809160957,102,1001001009
SHW ,B1   ,201809160958,116,1001001009
SHW ,B1   ,201809160959,105,1001001009
SHW ,B1   ,201809161000,110,1001001009
SHW ,B1   ,201809161001,102,1001001009
SHW ,B1   ,201809161002,89,1001001009
SHW ,B1   ,201809161003,108,1001001009
SHW ,B1   ,201809161004,94,1001001009
SHW ,B1   ,201809161005,89,1001001009
SHW ,B1   ,201809161006,102,1001001009
SHW ,B1   ,201809161007,78,1001001009
SHW ,B1   ,201809161008,87,1001001009
SHW ,B1   ,201809161009,96,1001001009
SHW ,B1   ,201809161010,69,1001001009
SHW ,B1   ,201809161011,69,1001001009
SHW ,B1   ,201809161012,102,1001001009
SHW ,B1   ,201809161013,96,1001001009
SHW ,B1   ,201809161014,106,1001001009
SHW ,B1   ,201809161015,94,1001001009
SHW ,B1   ,201809161016,87,1001001009
SHW ,B1   ,201809161017,99,1001001009
SHW ,B1   ,201809161018,99,1001001009
SHW ,B1   ,201809161019,108,1001001009
SHW ,B1   ,201809161020,131,1001001009
SHW ,B1   ,201809161021,121,1001001009
SHW ,B1   ,201809161022,96,1001001009
SHW ,B1   ,201809161023,98,1001001009
