WLP ,B1   ,201809160926,77,1001001009
WLP ,B1   ,201809160927,65,1001001009
WLP ,B1   ,201809160928,47,1001001009
WLP ,B1   ,201809160929,55,1001001009
WLP ,B1   ,201809160930,52,1001001009
WLP ,B1   ,201809160931,58,1001001009
WLP ,B1   ,201809160932,81,1001001009
WLP ,B1   ,201809160933,35,1001001009
WLP ,B1   ,201809160934,70,1001001009
WLP ,B1   ,201809160935,42,1001001009
WLP ,B1   ,201809160936,39,1001001009
WLP ,B1   ,201809160937,53,1001001009
WLP ,B1   ,201809160938,50,1001001009
WLP ,B1   ,201809160939,58,1001001009
WLP ,B1   ,201809160940,36,1001001009
WLP ,B1   ,201809160941,45,1001001009
WLP ,B1   ,201809160942,57,1001001009
WLP ,B1   ,201809160943,70,1001001009
WLP ,B1   ,201809160944,87,1001001009
WLP ,B1   ,201809160945,77,1001001009
WLP ,B1   ,201809160946,55,1001001009
WLP ,B1   ,201809160947,71,1001001009
WLP ,B1   ,201809160948,55,1001001009
WLP ,B1   ,201809160949,56,1001001009
WLP ,B1   ,201809160950,52,1001001009
WLP ,B1   ,201809160951,68,1001001009
WLP ,B1   ,201809160952,50,1001001009
WLP ,B1   ,201809160953,57,1001001009
WLP ,B1   ,201809160954,42,1001001009
WLP ,B1   ,201809160955,58,1001001009
WLP ,B1   ,201809160956,63,1001001009
WLP ,B1   ,201809160957,68,1001001009
WLP ,B1   ,201809160958,54,1001001009
WLP ,B1   ,201809160959,71,1001001009
WLP ,B1   ,201809161000,67,1001001009
WLP ,B1   ,201809161001,67,1001001009
WLP ,B1   ,201809161002,89,1001001009
WLP ,B1   ,201809161003,88,1001001009
WLP ,B1   ,201809161004,62,1001001009
WLP ,B1   ,201809161005,100,1001001009
WLP ,B1   ,201809161006,101,1001001009
WLP ,B1   ,201809161007,65,1001001009
WLP ,B1   ,201809161008,55,1001001009
WLP ,B1   ,201809161009,52,1001001009
WLP ,B1   ,201809161010,93,1001001009
WLP ,B1   ,201809161011,83,1001001009
WLP ,B1   ,201809161012,85,1001001009
WLP ,B1   ,201809161013,74,1001001009
WLP ,B1   ,201809161014,82,1001001009
WLP ,B1   ,201809161015,60,1001001009
WLP ,B1   ,201809161016,82,1001001009
WLP ,B1   ,201809161017,59,1001001009
WLP ,B1   ,201809161018,55,1001001009
WLP ,B1   ,201809161019,60,1001001009
WLP ,B1   ,201809161020,83,1001001009
WLP ,B1   ,201809161021,77,1001001009
WLP ,B1   ,201809161022,80,1001001009
WLP ,B1   ,201809161023,76,1001001009
WLP ,B1   ,201809161024,109,1001001009
WLP ,B1   ,201809161025,81,1001001009
WLP ,B1   ,201809161026,80,1001001009
WLP ,B1   ,201809161027,111,1001001009
WLP ,B1   ,201809161028,89,1001001009
WLP ,B1   ,201809161029,78,1001001009
WLP ,B1   ,201809161030,117,1001001009
WLP ,B1   ,201809161031,108,1001001009
WLP ,B1   ,201809161032,104,1001001009
WLP ,B1   ,201809161033,65,1001001009
WLP ,B1   ,201809161034,87,1001001009
WLP ,B1   ,201809161035,78,1001001009
