LAM ,B1   ,201809160836,77,1001001009
LAM ,B1   ,201809160837,89,1001001009
LAM ,B1   ,201809160838,69,1001001009
LAM ,B1   ,201809160839,111,1001001009
LAM ,B1   ,201809160840,87,1001001009
LAM ,B1   ,201809160841,149,1001001009
LAM ,B1   ,201809160842,93,1001001009
LAM ,B1   ,201809160843,84,1001001009
LAM ,B1   ,201809160844,84,1001001009
LAM ,B1   ,201809160845,91,1001001009
LAM ,B1   ,201809160846,60,1001001009
LAM ,B1   ,201809160847,64,1001001009
LAM ,B1   ,201809160848,61,1001001009
LAM ,B1   ,201809160849,42,1001001009
LAM ,B1   ,201809160850,61,1001001009
LAM ,B1   ,201809160851,53,1001001009
LAM ,B1   ,201809160852,90,1001001009
LAM ,B1   ,201809160853,132,1001001009
LAM ,B1   ,201809160854,79,1001001009
LAM ,B1   ,201809160855,122,1001001009
LAM ,B1   ,201809160856,174,1001001009
LAM ,B1   ,201809160857,91,1001001009
LAM ,B1   ,201809160858,65,1001001009
LAM ,B1   ,201809160859,106,1001001009
LAM ,B1   ,201809160900,78,1001001009
LAM ,B1   ,201809160901,110,1001001009
LAM ,B1   ,201809160902,79,1001001009
LAM ,B1   ,201809160903,85,1001001009
LAM ,B1   ,201809160904,69,1001001009
LAM ,B1   ,201809160905,122,1001001009
LAM ,B1   ,201809160906,107,1001001009
LAM ,B1   ,201809160907,141,1001001009
LAM ,B1   ,201809160908,136,1001001009
LAM ,B1   ,201809160909,120,1001001009
LAM ,B1   ,201809160910,128,1001001009
LAM ,B1   ,201809160911,105,1001001009
LAM ,B1   ,201809160912,88,1001001009
LAM ,B1   ,201809160913,103,1001001009
LAM ,B1   ,201809160914,119,1001001009
LAM ,B1   ,201809160915,124,1001001009
LAM ,B1   ,201809160916,146,1001001009
LAM ,B1   ,201809160917,101,1001001009
LAM ,B1   ,201809160918,86,1001001009
LAM ,B1   ,201809160919,105,1001001009
LAM ,B1   ,201809160920,109,1001001009
LAM ,B1   ,201809160921,140,1001001009
LAM ,B1   ,201809160922,81,1001001009
LAM ,B1   ,201809160923,97,1001001009
LAM ,B1   ,201809160924,99,1001001009
LAM ,B1   ,201809160925,66,1001001009
LAM ,B1   ,201809160926,67,1001001009
LAM ,B1   ,201809160927,42,1001001009
LAM ,B1   ,201809160928,102,1001001009
LAM ,B1   ,201809160929,74,1001001009
LAM ,B1   ,201809160930,94,1001001009
LAM ,B1   ,201809160931,83,1001001009
LAM ,B1   ,201809160932,136,1001001009
LAM ,B1   ,201809160933,160,1001001009
LAM ,B1   ,201809160934,83,1001001009
LAM ,B1   ,201809160935,117,1001001009
LAM ,B1   ,201809160936,147,1001001009
LAM ,B1   ,201809160937,118,1001001009
LAM ,B1   ,201809160938,80,1001001009
LAM ,B1   ,201809160939,67,1001001009
LAM ,B1   ,201809160940,69,1001001009
LAM ,B1   ,201809160941,127,1001001009
LAM ,B1   ,201809160942,119,1001001009
LAM ,B1   ,201809160943,113,1001001009
LAM ,B1   ,201809160944,130,1001001009
LAM ,B1   ,201809160945,115,1001001009
LAM ,B1   ,201809160946,127,1001001009
LAM ,B1   ,201809160947,134,1001001009
LAM ,B1   ,201809160948,129,1001001009
LAM ,B1   ,201809160949,105,1001001009
LAM ,B1   ,201809160950,120,1001001009
LAM ,B1   ,201809160951,125,1001001009
LAM ,B1   ,201809160952,88,1001001009
LAM ,B1   ,201809160953,103,1001001009
LAM ,B1   ,201809160954,87,1001001009
