SEK ,B1   ,201809160848,61,1001001009
SEK ,B1   ,201809160849,64,1001001009
SEK ,B1   ,201809160850,61,1001001009
SEK ,B1   ,201809160851,67,1001001009
SEK ,B1   ,201809160852,74,1001001009
SEK ,B1   ,201809160853,104,1001001009
SEK ,B1   ,201809160854,87,1001001009
SEK ,B1   ,201809160855,79,1001001009
SEK ,B1   ,201809160856,88,1001001009
SEK ,B1   ,201809160857,79,1001001009
SEK ,B1   ,201809160858,59,1001001009
SEK ,B1   ,201809160859,78,1001001009
SEK ,B1   ,201809160900,78,1001001009
SEK ,B1   ,201809160901,82,1001001009
SEK ,B1   ,201809160902,88,1001001009
SEK ,B1   ,201809160903,96,1001001009
SEK ,B1   ,201809160904,73,1001001009
SEK ,B1   ,201809160905,88,1001001009
SEK ,B1   ,201809160906,84,1001001009
SEK ,B1   ,201809160907,88,1001001009
SEK ,B1   ,201809160908,89,1001001009
SEK ,B1   ,201809160909,69,1001001009
SEK ,B1   ,201809160910,72,1001001009
SEK ,B1   ,201809160911,67,1001001009
SEK ,B1   ,201809160912,81,1001001009
SEK ,B1   ,201809160913,94,1001001009
SEK ,B1   ,201809160914,74,1001001009
SEK ,B1   ,201809160915,79,1001001009
SEK ,B1   ,201809160916,85,1001001009
SEK ,B1   ,201809160917,86,1001001009
SEK ,B1   ,201809160918,97,1001001009
SEK ,B1   ,201809160919,75,1001001009
SEK ,B1   ,201809160920,83,1001001009
SEK ,B1   ,201809160921,80,1001001009
SEK ,B1   ,201809160922,76,1001001009
SEK ,B1   ,201809160923,106,1001001009
SEK ,B1   ,201809160924,86,1001001009
SEK ,B1   ,201809160925,84,1001001009
SEK ,B1   ,201809160926,75,1001001009
SEK ,B1   ,201809160927,79,1001001009
SEK ,B1   ,201809160928,86,1001001009
SEK ,B1   ,201809160929,68,1001001009
SEK ,B1   ,201809160930,84,1001001009
SEK ,B1   ,201809160931,86,1001001009
SEK ,B1   ,201809160932,55,1001001009
SEK ,B1   ,201809160933,72,1001001009
SEK ,B1   ,201809160934,65,1001001009
SEK ,B1   ,201809160935,76,1001001009
SEK ,B1   ,201809160936,59,1001001009
SEK ,B1   ,201809160937,61,1001001009
SEK ,B1   ,201809160938,57,1001001009
SEK ,B1   ,201809160939,51,1001001009
SEK ,B1   ,201809160940,69,1001001009
SEK ,B1   ,201809160941,65,1001001009
SEK ,B1   ,201809160942,50,1001001009
SEK ,B1   ,201809160943,68,1001001009
SEK ,B1   ,201809160944,67,1001001009
SEK ,B1   ,201809160945,81,1001001009
SEK ,B1   ,201809160946,57,1001001009
SEK ,B1   ,201809160947,83,1001001009
SEK ,B1   ,201809160948,90,1001001009
SEK ,B1   ,201809160949,82,1001001009
SEK ,B1   ,201809160950,64,1001001009
SEK ,B1   ,201809160951,65,1001001009
SEK ,B1   ,201809160952,49,1001001009
SEK ,B1   ,201809160953,75,1001001009
SEK ,B1   ,201809160954,62,1001001009
SEK ,B1   ,201809160955,81,1001001009
SEK ,B1   ,201809160956,65,1001001009
SEK ,B1   ,201809160957,89,1001001009
SEK ,B1   ,201809160958,79,1001001009
SEK ,B1   ,201809160959,62,1001001009
SEK ,B1   ,201809161000,78,1001001009
SEK ,B1   ,201809161001,69,1001001009
SEK ,B1   ,201809161002,82,1001001009
SEK ,B1   ,201809161003,67,1001001009
SEK ,B1   ,201809161004,87,1001001009
SEK ,B1   ,201809161005,115,1001001009
SEK ,B1   ,201809161006,94,1001001009
SEK ,B1   ,201809161007,81,1001001009
SEK ,B1   ,201809161008,76,1001001009
SEK ,B1   ,201809161009,79,1001001009
SEK ,B1   ,201809161010,88,1001001009
SEK ,B1   ,201809161011,111,1001001009
SEK ,B1   ,201809161012,109,1001001009
SEK ,B1   ,201809161013,123,1001001009
SEK ,B1   ,201809161014,102,1001001009
SEK ,B1   ,201809161015,103,1001001009
SEK ,B1   ,201809161016,101,1001001009
SEK ,B1   ,201809161017,111,1001001009
SEK ,B1   ,201809161018,77,1001001009
SEK ,B1   ,201809161019,101,1001001009
SEK ,B1   ,201809161020,96,1001001009
SEK ,B1   ,201809161021,79,1001001009
SEK ,B1   ,201809161022,90,1001001009
SEK ,B1   ,201809161023,74,1001001009
SEK ,B1   ,201809161024,121,1001001009
SEK ,B1   ,201809161025,92,1001001009
SEK ,B1   ,201809161026,137,1001001009
SEK ,B1   ,201809161027,104,1001001009
SEK ,B1   ,201809161028,116,1001001009
SEK ,B1   ,201809161029,114,1001001009
SEK ,B1   ,201809161030,119,1001001009
SEK ,B1   ,201809161031,117,1001001009
SEK ,B1   ,201809161032,123,1001001009
SEK ,B1   ,201809161033,116,1001001009
SEK ,B1   ,201809161034,129,1001001009
SEK ,B1   ,201809161035,97,1001001009
